2694,6,0
2695,7,0
2696,8,0
2697,9,0
2698,10,0
2699,11,0
2700,12,0
2758,6,0
2759,7,0
2760,8,0
2761,9,1
2762,10,0
2763,11,0
2764,12,0
2822,6,0
2823,7,0
2824,8,0
2825,9,1
2826,10,1
2827,11,0
2828,12,0
2886,6,0
2887,7,0
2888,8,0
2889,9,1
2890,10,1
2891,11,1
2892,12,0
2950,6,0
2951,7,0
2952,8,0
2953,9,1
2954,10,1
2955,11,1
2956,12,1
3014,6,0
3015,7,0
3016,8,0
3017,9,1
3018,10,1
3019,11,1
3020,12,1
3078,6,0
3079,7,0
3080,8,0
3081,9,1
3082,10,1
3083,11,1
3084,12,1
3142,6,0
3143,7,0
3144,8,0
3145,9,1
3146,10,1
3147,11,1
3148,12,1
3206,6,0
3207,7,0
3208,8,0
3209,9,1
3210,10,1
3211,11,1
3212,12,1
3270,6,0
3271,7,0
3272,8,0
3273,9,2
3274,10,1
3275,11,1
3276,12,1
3334,6,0
3335,7,0
3336,8,0
3337,9,2
3338,10,1
3339,11,1
3340,12,1
3398,6,0
3399,7,0
3400,8,0
3401,9,2
3402,10,1
3403,11,1
3404,12,1
3462,6,0
3463,7,0
3464,8,0
3465,9,2
3466,10,1
3467,11,1
3468,12,1
3526,6,0
3527,7,0
3528,8,0
3529,9,2
3530,10,2
3531,11,1
3532,12,1
3590,6,0
3591,7,0
3592,8,0
3593,9,2
3594,10,2
3595,11,1
3596,12,1
3654,6,0
3655,7,0
3656,8,0
3657,9,2
3658,10,2
3659,11,1
3660,12,1
3718,6,0
3719,7,0
3720,8,0
3721,9,2
3722,10,2
3723,11,1
3724,12,1
3782,6,0
3783,7,0
3784,8,0
3785,9,2
3786,10,2
3787,11,2
3788,12,1
3846,6,0
3847,7,0
3848,8,0
3849,9,2
3850,10,2
3851,11,2
3852,12,1
3910,6,0
3911,7,0
3912,8,0
3913,9,2
3914,10,2
3915,11,2
3916,12,1
3974,6,0
3975,7,0
3976,8,0
3977,9,2
3978,10,2
3979,11,2
3980,12,1
4038,6,0
4039,7,0
4040,8,0
4041,9,2
4042,10,2
4043,11,2
4044,12,2
4102,6,0
4103,7,0
4104,8,0
4105,9,2
4106,10,2
4107,11,2
4108,12,2
4166,6,0
4167,7,0
4168,8,0
4169,9,2
4170,10,2
4171,11,2
4172,12,2
4230,6,0
4231,7,0
4232,8,0
4233,9,2
4234,10,2
4235,11,2
4236,12,2
4294,6,0
4295,7,0
4296,8,0
4297,9,2
4298,10,2
4299,11,2
4300,12,2
4358,6,0
4359,7,0
4360,8,0
4361,9,2
4362,10,2
4363,11,2
4364,12,2
4422,6,0
4423,7,0
4424,8,0
4425,9,2
4426,10,2
4427,11,2
4428,12,2
4486,6,0
4487,7,0
4488,8,0
4489,9,2
4490,10,2
4491,11,2
4492,12,2
4550,6,0
4551,7,0
4552,8,0
4553,9,2
4554,10,2
4555,11,2
4556,12,2
4614,6,0
4615,7,0
4616,8,0
4617,9,2
4618,10,2
4619,11,2
4620,12,2
4678,6,0
4679,7,0
4680,8,0
4681,9,2
4682,10,2
4683,11,2
4684,12,2
4742,6,0
4743,7,0
4744,8,0
4745,9,2
4746,10,2
4747,11,2
4748,12,2
4806,6,0
4807,7,0
